Subject_ID,excluded,trials_total,chose_diatonic,chose_chromatic,%_diatonic,%_chromatic,rt_diatonic,rt_chromatic,rt,rt_diatonic:average,rt_chromatic:average,pressed_button1,pressed_button2
SVG0075,False,100,47,53,0.47,0.53,4711.79404255314,10265.884622641506,7655.462049999974,0.6154813402220648,1.340988245463452,69,31
SVG0077,False,100,86,14,0.86,0.14,1169.6040697658414,2362.2317857267003,1336.5719500003615,0.8750775218390039,1.767380937274691,50,50
SVG0083,False,100,67,33,0.67,0.33,3171.375149253483,3879.1683333304986,3404.946899998898,0.9314022339832992,1.139274252215726,49,51
SVG0084,False,100,70,30,0.7,0.3,2001.884285708743,30488.983166671824,10548.013949997667,0.1897877927729879,2.8904951501963616,52,48
SVG0085,False,100,50,50,0.5,0.5,2646.4116000005743,5867.1549000020605,4256.783250001317,0.6216928240355567,1.3783071759644432,100,0
SVG0087,False,100,54,46,0.54,0.46,1335.0887037382495,1266.7292391415685,1303.6433500237763,1.0241211322973416,0.9716838881726858,78,22
SVG0088,False,100,51,49,0.51,0.49,2526.0993137284568,2402.9573469270704,2465.7597499957774,1.0244709825167608,0.9745302018703101,73,27
SVG0090,False,100,86,14,0.86,0.14,931.0353488372341,1649.4428571417561,1031.6123999998672,0.902504999782238,1.5988978584805382,52,48
SVG0091,False,100,55,45,0.55,0.45,1578.1416363633111,2488.262444444345,1987.6959999997762,0.7939552307613885,1.251832495736081,55,45
SVG0092,False,100,93,7,0.93,0.07,594.8989247311525,859.2264285720719,613.4018500000169,0.9698355567906033,1.4007561740676984,47,53
SVG0093,False,100,49,51,0.49,0.51,3155.0779591827672,1104.7170588144047,2109.3938999949023,1.495727260418451,0.5237130243038413,5,95
SVG0094,False,100,53,47,0.53,0.47,6688.934622641565,5025.877765957108,5907.29789999987,1.1323171331247255,0.8507913179657349,9,91
SVG0096,False,100,63,37,0.63,0.37,1050.596984118105,2161.961756759902,1461.8019499955699,0.7186999470901574,1.4789703603600024,53,47
SVG0097,False,100,50,50,0.5,0.5,1146.0313000087626,866.3499999977648,1006.1906500032637,1.1389802717855162,0.8610197282144837,64,36
SVG0098,False,100,55,45,0.55,0.45,9344.700999995059,7419.3359999995055,8478.28674999706,1.1021921380517472,0.8750984979367533,19,81
SVG0099,False,100,47,53,0.47,0.53,3143.9617021366003,74994.06037734434,41224.51399999671,0.07626437275007902,1.8191617826555901,41,59
SVG0100,False,100,55,45,0.55,0.45,2327.836363636135,5263.461666666747,3648.8677499999108,0.6379612863843015,1.4424917610858534,51,49
SVG0102,False,100,93,7,0.93,0.07,907.7103225888575,1945.5992857110687,980.3625500074122,0.9258924900609418,1.9845712034760596,47,53
SVG0105,False,100,61,39,0.61,0.39,1124.2998360587499,1425.707179488829,1241.8486999964807,0.9053436510115411,1.1480522381614358,55,45
SVG0106,False,100,57,43,0.57,0.43,1976.0067543840003,2607.935813956807,2247.7362500003073,0.8791097062138541,1.1602499243211701,49,51
SVG0109,False,100,76,24,0.76,0.24,3325.0155921054293,4441.329166666593,3592.9308500001084,0.925432670685919,1.2361298761612567,56,44
SVG0112,False,100,82,18,0.82,0.18,1994.779756097714,3589.2805555553778,2281.7899000000934,0.8742171030284744,1.5730109750925056,58,42
SVG0113,False,100,47,53,0.47,0.53,2093.908723401639,2289.0217924437857,2197.3186499939766,0.9529381291181317,1.0417341119141097,59,41
SVG0115,False,100,49,51,0.49,0.51,1385.1081632571866,2053.248137267599,1725.8595500024967,0.8025613458842481,1.1896959617974872,69,31
SVG0116,False,100,78,22,0.78,0.22,1424.6338461451112,1771.144545451865,1500.866199992597,0.9492077615926977,1.180081572534981,48,52
SVG0118,False,100,67,33,0.67,0.33,1548.7660447747112,2275.7725757591033,1788.6781999995605,0.86587181795758,1.2723208544497622,59,41
SVG0119,False,100,62,38,0.62,0.38,2150.719677419886,2215.9692105250615,2175.514499999853,0.9886027776050361,1.0185954681180986,50,50
SVG0120,False,100,54,46,0.54,0.46,3289.387222250096,19091.206630418565,10558.22415000759,0.3115473942886249,1.8081834936611796,74,26
SVG0121,False,100,82,18,0.82,0.18,1098.465243901728,3706.368333335073,1567.8877999997303,0.7006019460715983,2.3639244678960516,48,52
